Unnamed: 0,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
1849,1,1,1,7,1,7020.0,1030.0,-1150.0,7020.0,1030.0,-1150.0,2.0
2815,4,1,4,4,2,890.758,13.684,-13.284,890.758,13.684,-13.284,0.0
957,1,1,3,4,2,139.611,0.429,-0.427,139.611,0.429,-0.427,0.0
1295,1,1,1,2,2,18.1186,0.0201,-0.0201,18.1186,0.0201,-0.0201,1.0
4200,1,1,1,4,2,1355.28,46.28,-46.28,1355.28,46.28,-46.28,1.0
1844,1,1,1,7,1,6500.0,1400.0,-2000.0,6500.0,1400.0,-2000.0,2.0
3604,1,1,4,4,2,868.477,26.64,-25.126,868.477,26.64,-25.126,1.0
5304,1,1,1,4,1,298.214,1.42,-1.407,298.214,1.42,-1.407,1.0
5153,1,1,2,4,2,61.5204,0.1022,-0.1022,61.5204,0.1022,-0.1022,0.0
2603,1,1,1,4,2,2879.83,1073.72,-1073.72,2879.83,1073.72,-1073.72,1.0
4529,1,1,1,4,2,879.683,23.817,-22.614,879.683,23.817,-22.614,1.0
1034,2,1,2,1,1,81.3795,0.3608,-0.3577,81.3795,0.3608,-0.3577,1.0
3366,3,1,4,4,2,782.088,18.719,-17.879,782.088,18.719,-17.879,1.0
931,1,2,1,1,1,52.0018,0.1026,-0.1022,52.0018,0.1026,-0.1022,1.0
5043,1,1,1,4,2,335.985,2.434,-2.4,335.985,2.434,-2.4,1.0
3098,1,1,1,4,2,833.055,24.544,-24.544,833.055,24.544,-24.544,0.0
633,1,1,1,1,1,53.4884,0.144,-0.1431,53.4884,0.144,-0.1431,0.0
1197,2,1,2,1,1,136.957,1.955,-1.955,136.957,1.955,-1.955,1.0
498,1,2,2,1,1,49.4156,0.116,-0.1154,49.4156,0.116,-0.1154,2.0
3168,1,1,1,4,2,763.662,17.9405,-17.9405,763.662,17.9405,-17.9405,0.0
415,1,1,1,4,1,343.525,5.122,-4.976,343.525,5.122,-4.976,0.0
1945,1,1,1,4,2,1115.62,16.95,-16.45,1115.62,16.95,-16.45,1.0
2802,1,1,1,4,2,331.213,2.18,-2.151,331.213,2.18,-2.151,1.0
4538,1,1,2,4,2,601.324,8.299,-8.079001,601.324,8.299,-8.079001,1.0
4187,1,1,3,4,2,945.775,24.0505,-24.0505,945.775,24.0505,-24.0505,1.0
757,1,1,1,1,1,122.362,0.449,-0.449,122.362,0.449,-0.449,0.0
3043,1,1,2,4,2,726.346,15.267,-14.661,726.346,15.267,-14.661,0.0
1041,1,3,1,1,1,85.6009,0.3684,-0.3652,85.6009,0.3684,-0.3652,2.0
2114,1,1,1,4,2,1757.23,84.23,-76.98,1757.23,84.23,-76.98,1.0
2522,1,1,1,4,2,1054.37,54.02,-49.08,1054.37,54.02,-49.08,1.0
2647,1,1,2,4,2,397.292,4.122,-4.039,397.292,4.122,-4.039,1.0
5359,1,1,1,4,1,508.885,16.646,-15.641,508.885,16.646,-15.641,0.0
596,1,1,1,1,1,56.518,0.1166,-0.116,56.518,0.1166,-0.116,0.0
2694,1,1,1,4,2,729.964,12.9055,-12.9055,729.964,12.9055,-12.9055,1.0
5170,1,1,1,4,2,80.1423,0.6481,-0.6379,80.1423,0.6481,-0.6379,2.0
2755,1,1,1,4,2,845.022,21.858,-20.802,845.022,21.858,-20.802,1.0
652,1,1,1,1,1,20.2727,0.0179,-0.0179,20.2727,0.0179,-0.0179,1.0
2157,1,1,2,4,2,623.609,7.021,-6.869,623.609,7.021,-6.869,1.0
2118,1,1,1,4,2,482.047,4.46,-4.381,482.047,4.46,-4.381,1.0
1487,1,1,1,4,2,129.46,4.091,-3.852,129.46,4.091,-3.852,0.0
1873,1,1,1,7,1,7040.0,1100.0,-1330.0,7040.0,1100.0,-1330.0,6.0
3429,2,1,2,4,2,626.078,9.056,-8.806,626.078,9.056,-8.806,1.0
4094,5,1,5,4,2,578.796,9.604,-9.3,578.796,9.604,-9.3,1.0
75,2,1,2,1,1,23.7324,0.0228,-0.0227,23.7324,0.0228,-0.0227,2.0
4815,1,1,1,7,1,2670.0,770.0,-1410.0,2670.0,770.0,-1410.0,5.0
4114,1,1,1,4,2,863.037,14.8155,-14.8155,863.037,14.8155,-14.8155,1.0
3773,1,1,2,4,2,1856.28,106.48,-95.72,1856.28,106.48,-95.72,1.0
3336,4,1,4,4,2,485.997,3.654,-3.654,485.997,3.654,-3.654,1.0
4907,1,1,1,4,1,185.615,0.805,-0.797,185.615,0.805,-0.797,2.0
3559,1,1,2,4,2,1786.48,115.5,-102.53,1786.48,115.5,-102.53,1.0
2094,1,1,1,4,2,742.473,13.484,-13.484,742.473,13.484,-13.484,1.0
2680,1,1,1,4,2,748.326,16.622,-15.926,748.326,16.622,-15.926,1.0
4338,1,1,1,4,2,695.059,14.459,-13.892,695.059,14.459,-13.892,1.0
1010,1,1,2,1,1,46.7864,0.1143,-0.1137,46.7864,0.1143,-0.1137,2.0
1029,1,2,2,1,1,36.69117,4.8765,-4.7835,36.69117,4.8765,-4.7835,6.0
1684,1,1,2,4,2,259.208,2.95,-2.885,259.208,2.95,-2.885,0.0
828,4,1,3,1,1,47.7945,0.1455,-0.1446,47.7945,0.1455,-0.1446,1.0
3478,1,1,2,4,2,613.129,7.599,-7.599,613.129,7.599,-7.599,1.0
96,1,1,1,4,2,1398.8341969,286.4501849,-286.4501849,1398.8341969,286.4501849,-286.4501849,0.0
5331,1,1,1,4,1,602.236,28.638,-26.194,602.236,28.638,-26.194,0.0
4240,1,1,1,4,2,394.55,2.154,-2.131,394.55,2.154,-2.131,1.0
2924,1,1,1,4,2,641.374,8.303001,-8.097,641.374,8.303001,-8.097,0.0
621,3,1,4,1,1,37.0169,0.033,-0.0329,37.0169,0.033,-0.0329,1.0
566,1,1,1,1,1,48.3367,0.1378,-0.137,48.3367,0.1378,-0.137,0.0
543,2,1,2,1,1,21.0628,0.0285,-0.0284,21.0628,0.0285,-0.0284,2.0
3590,3,1,3,4,2,914.221,27.0815,-27.0815,914.221,27.0815,-27.0815,2.0
51,1,1,1,1,1,768.045,45.038,-45.038,768.045,45.038,-45.038,0.0
3774,2,1,2,4,2,1856.28,106.48,-95.72,1856.28,106.48,-95.72,1.0
3759,2,1,2,4,2,527.956,6.105,-5.969,527.956,6.105,-5.969,1.0
