pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,sy_dist,sy_disterr1,sy_disterr2,pl_nnotes
323.21000000,0.06000000,-0.05000000,0,93.1846000,1.9238000,-1.9238000,2
516.21997000,3.20000000,-3.20000000,0,125.3210000,1.9765000,-1.9765000,0
186.76000000,0.11000000,-0.12000000,0,75.4392000,0.7140000,-0.7140000,0
1765.03890000,1.67709000,-1.87256000,0,17.9323000,0.0073000,-0.0073000,0
798.50000000,1.00000000,-1.00000000,0,21.1397000,0.0110000,-0.0111000,5
578.38000000,2.01000000,-2.09000000,0,124.9530000,2.5900000,-2.5900000,
982.85000000,1.06000000,-0.92000000,0,76.2220000,0.6217000,-0.6217000,2
,,,,139.1350000,1.3320000,-1.3070000,0
30.33000000,0.00000000,-0.01000000,0,95.9863000,0.6368500,-0.6368500,0
452.80000000,2.10000000,-4.50000000,0,72.0691000,0.6854000,-0.6728000,0
883.00000000,32.40000000,-13.80000000,0,72.0691000,0.6854000,-0.6728000,0
,,,,128.4840000,1.1960000,-1.1740000,2
,,,,47.2000000,3.1000000,-3.1000000,1
,,,,33.8281000,0.0864000,-0.0860000,0
,,,,40.0896412,0.1940496,-0.1940496,0
,,,,120.4239870,5.4783417,-5.4783417,0
,,,,64.3080000,0.6569000,-0.6440000,
406.00000000,4.00000000,-4.00000000,0,396.3320000,6.3885000,-6.3885000,1
,,,,69.5737000,0.1592000,-0.1585000,2
335.10001000,2.50000000,-2.50000000,0,44.6570000,0.1039000,-0.1034000,5
270.27000000,0.24000000,-0.09000000,0,73.4603000,1.1860500,-1.1860500,0
479.10000000,6.20000000,-6.20000000,0,90.6545000,1.3227000,-1.3227000,1
1078.00000000,2.00000000,-2.00000000,0,13.7967000,0.0289000,-0.0289000,
2391.00000000,100.00000000,-87.00000000,0,13.7967000,0.0289000,-0.0289000,
14002.00000000,4018.00000000,-5095.00000000,0,13.7967000,0.0289000,-0.0289000,
11688.00000000,6209.25000000,-3287.25000000,0,29.7575000,0.1213000,-0.1203000,5
4.23078500,0.00003600,-0.00003600,0,15.4614000,0.0297000,-0.0297000,1
14.65160000,0.00010000,-0.00010000,0,12.5855000,0.0124000,-0.0123000,4
44.39890000,0.00420000,-0.00430000,0,12.5855000,0.0124000,-0.0123000,4
5574.20000000,93.80000000,-88.60000000,0,12.5855000,0.0124000,-0.0123000,4
0.73654740,0.00000130,-0.00000140,0,12.5855000,0.0124000,-0.0123000,6
259.88000000,0.29000000,-0.29000000,0,12.5855000,0.0124000,-0.0123000,4
919.86000000,1.92000000,-3.71000000,0,54.6599000,0.2734000,-0.2734000,1
4.21500000,0.00060000,-0.00060000,0,8.5033200,0.0173700,-0.0173000,
38.02100000,0.03400000,-0.03400000,0,8.5033200,0.0173700,-0.0173000,
123.01000000,0.55000000,-0.55000000,0,8.5033200,0.0173700,-0.0173000,
735.10000000,14.80000000,-1.00000000,0,19.8101000,0.1648000,-0.1648000,0
996.00000000,1.50000000,-52.40000000,0,19.8101000,0.1648000,-0.1648000,0
116.68800000,0.00540000,-0.00540000,0,17.9011000,0.0560000,-0.0557000,
696.62000000,1.33000000,-1.69000000,0,82.9613000,0.7236500,-0.7236500,1
2051.62000000,45.98000000,-40.47000000,0,82.9613000,0.7236500,-0.7236500,1
93.40000000,4.50000000,-4.50000000,0,162.5520000,0.6510000,-0.6460000,1
1005.57000000,1.84000000,-1.94000000,0,101.2600000,1.2220000,-1.2220000,0
181.40000000,0.10000000,-0.10000000,0,44.0304000,0.5132500,-0.5132500,3
,,,,162.1270000,1.5260000,-1.4980000,1
,,,,50.0475000,0.0735000,-0.0733000,1
8030.00000000,1800.00000000,-1800.00000000,0,26.8564000,0.0189000,-0.0188000,2
8.46299910,,,0,9.7221000,0.0046250,-0.0046250,1
18.85899100,,,0,9.7221000,0.0046250,-0.0046250,2
481.90000000,2.70000000,-2.80000000,0,1070.6300000,63.8750000,-63.8750000,0
268.94000000,0.99000000,-0.99000000,0,49.3520000,0.0846000,-0.0844000,0
153.22000000,0.44000000,-0.44000000,0,768.0450000,45.0380000,-45.0380000,0
137.48000000,0.34000000,-0.34000000,0,426.4200000,6.4400000,-6.4400000,0
379.63000000,2.01000000,-2.01000000,0,1539.7100000,189.9250000,-189.9250000,0
621.99000000,10.20000000,-10.20000000,0,1539.7100000,189.9250000,-189.9250000,0
578.20000000,5.40000000,-5.40000000,0,1322.5100000,80.5350000,-80.5350000,0
41.68550000,0.00300000,-0.00300000,0,179.4610000,1.2570000,-1.2400000,1
307.88000000,1.47000000,-1.47000000,0,53.6220000,0.1919000,-0.1905000,0
392.60000000,5.50000000,-5.50000000,0,871.4930000,43.8490000,-43.8490000,0
733.00000000,5.00000000,-8.00000000,0,666.5890000,21.5335000,-21.5335000,0
2590.00000000,300.00000000,-180.00000000,0,442.0420000,7.6540000,-7.6540000,1
265.59000000,1.04000000,-1.04000000,0,52.5697000,0.0974000,-0.0971000,0
,,,,44.9543000,0.0593000,-0.0592000,2
1198.48000000,60.79000000,-60.79000000,0,38.0473000,0.0329000,-0.0329000,0
723.20000000,0.74000000,-0.74000000,0,42.6402000,0.1816000,-0.1801000,0
3.87280000,0.00040000,-0.00040000,0,20.2695000,0.0220000,-0.0218000,1
125.94000000,0.44000000,-0.44000000,0,20.2695000,0.0220000,-0.0218000,0
5.60000000,0.02000000,-0.02000000,0,41.3342000,0.0685000,-0.0682000,0
237.60000000,1.50000000,-1.50000000,0,41.3342000,0.0685000,-0.0682000,0
3.48777000,0.00011000,-0.00011000,0,84.4069000,0.3537000,-0.3508000,1
1634.00000000,13.00000000,-14.00000000,0,27.1665000,0.0346000,-0.0346000,0
74.20000000,0.06000000,-0.08000000,0,27.1665000,0.0346000,-0.0346000,0
714.29999000,5.30000000,-5.30000000,0,925.2140000,41.2110000,-41.2110000,0
655.60000000,0.60000000,-0.60000000,0,34.4603000,0.0929000,-0.0924000,0
1891.00000000,56.00000000,-48.00000000,0,23.7324000,0.0228000,-0.0227000,0
6240.00000000,151.00000000,-156.00000000,0,23.7324000,0.0228000,-0.0227000,2
2.29070000,0.00012000,-0.00012000,0,8.6071500,0.0065800,-0.0065800,
10037.50000000,2737.50000000,-2737.50000000,0,23.1000000,2.4000000,-2.4000000,1
8040000.00000000,470000.00000000,-470000.00000000,0,,,,1
,,,,190.3740000,6.6470000,-6.2200000,0
8.98910000,0.02020000,-0.02020000,0,157.9980000,1.1980000,-1.1800000,1
402000000.00000000,470000000.00000000,-100000000.00000000,0,10.8864000,0.0041000,-0.0042000,2
,,,,190.7200000,0.7780000,-0.7710000,0
1.50895570,0.00000640,-0.00000640,0,787.9090000,23.4910000,-23.4910000,0
13.24060000,0.00020000,-0.00020000,0,338.3860000,3.9865000,-3.9865000,0
2.99433000,0.00001100,-0.00001100,0,655.0370000,24.9470000,-23.2090000,0
2.82804200,0.00001300,-0.00001300,0,1126.3700000,55.7450000,-55.7450000,0
4.03519000,0.00003000,-0.00003000,0,1148.9300000,62.1200000,-56.1500000,0
1.51214000,0.00013000,-0.00013000,0,1744.6000000,173.0300000,-144.9000000,0
5.35227000,0.00020000,-0.00020000,0,732.4090000,35.3440000,-32.2820000,0
3.76810000,0.00030000,-0.00030000,0,1176.1200000,57.1700000,-52.1900000,0
1.90006930,0.00000280,-0.00000280,0,764.8890000,27.6140000,-25.7840000,0
3.89713000,0.00002000,-0.00002000,0,790.6630000,26.7370000,-25.0710000,0
1.74299350,0.00000100,-0.00000100,0,213.2830000,2.4850000,-2.4300000,6
9.24285000,0.00030000,-0.00030000,0,844.0610000,24.1710000,-22.8830000,1
1675.00000000,19.00000000,-17.00000000,0,844.0610000,24.1710000,-22.8830000,0
2.72474000,0.00014000,-0.00014000,0,1398.8341969,286.4501849,-286.4501849,0
9.75598000,0.00011000,-0.00011000,0,627.1580000,11.1870000,-10.8080000,0
3.63130000,0.00010000,-0.00010000,0,1060.9700000,45.4700000,-41.9400000,0
5.11340000,0.00060000,-0.00060000,0,591.5550000,16.0430000,-15.2320000,0
11.75900000,0.00630000,-0.00630000,0,591.5550000,16.0430000,-15.2320000,0
4.86069000,0.00006000,-0.00006000,0,1103.4800000,44.2800000,-41.0500000,0
4.20474000,0.00005000,-0.00005000,0,1045.1800000,,,0
3.57532000,0.00006000,-0.00006000,0,1010.2800000,69.2600000,-61.0360000,0
5.20851000,0.00038000,-0.00038000,0,766.1830000,14.6850000,-14.1520000,0
2.85057000,0.00000600,-0.00000600,0,806.5070000,44.0270000,-39.7600000,0
4.25680000,0.00000500,-0.00000500,0,768.7710000,30.7910000,-28.5450000,0
9.06005000,0.00024000,-0.00024000,0,1032.2300000,48.5700000,-44.4670000,0
4.62941000,0.00075000,-0.00075000,0,2005.7600000,169.7900000,-145.7100000,0
3.22748000,0.00008000,-0.00008000,0,1123.2100000,55.9000000,-50.9200000,0
5.61653100,0.00002300,-0.00002300,0,925.9580000,27.7960000,-26.2470000,0
9.20205000,0.00037000,-0.00037000,0,726.4120000,15.1810000,-14.5820000,0
4.03789620,0.00000190,-0.00000190,0,882.4720000,25.6200000,-25.6200000,0
8.88659300,0.00000400,-0.00000400,0,645.2940000,12.4530000,-11.9970000,0
0.85359163,0.00000001,-0.00000001,0,159.9060000,0.9170000,-0.9060000,3
3.69800000,0.00300000,-0.00300000,0,159.9060000,0.9170000,-0.9060000,4
8.96600000,1.54600000,-1.54600000,0,159.9060000,0.9170000,-0.9060000,2
6.21229000,0.00003000,-0.00003000,0,322.0370000,2.7140000,-2.7140000,0
95.27265600,0.00006800,-0.00006800,0,412.9800000,4.7250000,-4.6220000,2
