Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
0,11 Com b,1,2,1,1,1,93.1846,1.9238,-1.9238,93.1846,1.9238,-1.9238,2.0
1,11 UMi b,1,1,1,1,1,125.321,1.9765,-1.9765,125.321,1.9765,-1.9765,0.0
2,14 And b,1,1,1,1,1,75.4392,0.714,-0.714,75.4392,0.714,-0.714,0.0
3,14 Her b,1,1,2,1,1,17.9323,0.0073,-0.0073,17.9323,0.0073,-0.0073,0.0
4,16 Cyg B b,1,3,1,1,1,21.1397,0.011,-0.0111,21.1397,0.011,-0.0111,5.0
5,17 Sco b,1,1,1,1,1,124.953,2.59,-2.59,124.953,2.59,-2.59,1.0
6,18 Del b,1,2,1,1,1,76.222,0.6217,-0.6217,76.222,0.6217,-0.6217,2.0
7,1RXS J160929.1-210524 b,1,1,1,2,1,139.135,1.332,-1.307,139.135,1.332,-1.307,0.0
8,24 Boo b,1,1,1,1,1,95.9863,0.63685,-0.63685,95.9863,0.63685,-0.63685,0.0
9,24 Sex b,1,1,2,1,1,72.0691,0.6854,-0.6728,72.0691,0.6854,-0.6728,0.0
10,24 Sex c,2,1,2,1,1,72.0691,0.6854,-0.6728,72.0691,0.6854,-0.6728,0.0
11,2M0437 b,1,1,1,2,1,128.484,1.196,-1.174,128.484,1.196,-1.174,2.0
12,2MASS J01033563-5515561 AB b,1,2,1,2,1,47.2,3.1,-3.1,47.2,3.1,-3.1,1.0
13,2MASS J01225093-2439505 b,1,1,1,2,1,33.8281,0.0864,-0.086,33.8281,0.0864,-0.086,0.0
14,2MASS J02192210-3925225 b,1,1,1,2,1,40.0896412,0.1940496,-0.1940496,40.0896412,0.1940496,-0.1940496,0.0
15,2MASS J04414489+2301513 b,1,1,1,2,2,120.423987,5.4783417,-5.4783417,120.423987,5.4783417,-5.4783417,0.0
16,2MASS J12073346-3932539 b,1,1,1,2,1,64.308,0.6569,-0.644,64.308,0.6569,-0.644,1.0
17,2MASS J19383260+4603591 b,1,2,3,3,2,396.332,6.3885,-6.3885,396.332,6.3885,-6.3885,1.0
18,2MASS J22362452+4751425 b,1,1,1,2,1,69.5737,0.1592,-0.1585,69.5737,0.1592,-0.1585,2.0
19,30 Ari B b,1,4,1,1,1,44.657,0.1039,-0.1034,44.657,0.1039,-0.1034,5.0
20,4 UMa b,1,1,1,1,1,73.4603,1.18605,-1.18605,73.4603,1.18605,-1.18605,0.0
21,42 Dra b,1,2,1,1,1,90.6545,1.3227,-1.3227,90.6545,1.3227,-1.3227,1.0
22,47 UMa b,1,1,3,1,1,13.7967,0.0289,-0.0289,13.7967,0.0289,-0.0289,1.0
23,47 UMa c,2,1,3,1,1,13.7967,0.0289,-0.0289,13.7967,0.0289,-0.0289,1.0
24,47 UMa d,3,1,3,1,1,13.7967,0.0289,-0.0289,13.7967,0.0289,-0.0289,1.0
25,51 Eri b,1,3,1,2,1,29.7575,0.1213,-0.1203,29.7575,0.1213,-0.1203,5.0
26,51 Peg b,1,1,1,1,1,15.4614,0.0297,-0.0297,15.4614,0.0297,-0.0297,1.0
27,55 Cnc b,1,2,5,1,1,12.5855,0.0124,-0.0123,12.5855,0.0124,-0.0123,4.0
28,55 Cnc c,2,2,5,1,1,12.5855,0.0124,-0.0123,12.5855,0.0124,-0.0123,4.0
29,55 Cnc d,3,2,5,1,1,12.5855,0.0124,-0.0123,12.5855,0.0124,-0.0123,4.0
30,55 Cnc e,4,2,5,1,1,12.5855,0.0124,-0.0123,12.5855,0.0124,-0.0123,6.0
31,55 Cnc f,5,2,5,1,1,12.5855,0.0124,-0.0123,12.5855,0.0124,-0.0123,4.0
32,6 Lyn b,1,1,1,1,1,54.6599,0.2734,-0.2734,54.6599,0.2734,-0.2734,1.0
33,61 Vir b,1,1,3,1,1,8.50332,0.01737,-0.0173,8.50332,0.01737,-0.0173,1.0
34,61 Vir c,2,1,3,1,1,8.50332,0.01737,-0.0173,8.50332,0.01737,-0.0173,1.0
35,61 Vir d,3,1,3,1,1,8.50332,0.01737,-0.0173,8.50332,0.01737,-0.0173,1.0
36,7 CMa b,1,1,2,1,1,19.8101,0.1648,-0.1648,19.8101,0.1648,-0.1648,0.0
37,7 CMa c,2,1,2,1,1,19.8101,0.1648,-0.1648,19.8101,0.1648,-0.1648,0.0
38,70 Vir b,1,1,1,1,1,17.9011,0.056,-0.0557,17.9011,0.056,-0.0557,1.0
39,75 Cet b,1,2,2,1,1,82.9613,0.72365,-0.72365,82.9613,0.72365,-0.72365,1.0
40,75 Cet c,2,2,2,1,1,82.9613,0.72365,-0.72365,82.9613,0.72365,-0.72365,1.0
41,8 UMi b,1,1,1,1,1,162.552,0.651,-0.646,162.552,0.651,-0.646,1.0
42,81 Cet b,1,1,1,1,1,101.26,1.222,-1.222,101.26,1.222,-1.222,0.0
43,91 Aqr b,1,3,1,1,1,44.0304,0.51325,-0.51325,44.0304,0.51325,-0.51325,3.0
44,AB Aur b,1,1,1,2,1,162.127,1.526,-1.498,162.127,1.526,-1.498,1.0
45,AB Pic b,1,1,1,2,1,50.0475,0.0735,-0.0733,50.0475,0.0735,-0.0733,1.0
46,AF Lep b,1,1,1,2,1,26.8564,0.0189,-0.0188,26.8564,0.0189,-0.0188,2.0
47,AU Mic b,1,1,2,4,2,9.7221,0.004625,-0.004625,9.7221,0.004625,-0.004625,1.0
48,AU Mic c,2,1,2,4,2,9.7221,0.004625,-0.004625,9.7221,0.004625,-0.004625,2.0
49,BD+03 2562 b,1,1,1,1,1,1070.63,63.875,-63.875,1070.63,63.875,-63.875,0.0
50,BD+14 4559 b,1,1,1,1,1,49.352,0.0846,-0.0844,49.352,0.0846,-0.0844,0.0
51,BD+15 2375 b,1,1,1,1,1,768.045,45.038,-45.038,768.045,45.038,-45.038,0.0
52,BD+15 2940 b,1,1,1,1,1,426.42,6.44,-6.44,426.42,6.44,-6.44,0.0
53,BD+20 2457 b,1,1,2,1,1,1539.71,189.925,-189.925,1539.71,189.925,-189.925,0.0
54,BD+20 2457 c,2,1,2,1,1,1539.71,189.925,-189.925,1539.71,189.925,-189.925,0.0
